lat-long,fsq_id,cat_id,category_name,categories,name,address,city,country,popularity,rating
"43.674446,-79.398331",4ad4c05df964a52054f620e3,13003,Bar,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13073, 'name': 'Australian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/australian_', 'suffix': '.png'}}]",Hemingway's Restaurant,"142 Cumberland St (btw Avenue Rd. & Bay St.), Toronto ON M5R 1A8",Toronto,CA,0.9828215403804949,7.6
"43.674446,-79.398331",4b53bef9f964a52011aa27e3,13018,Pub,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13049, 'name': 'Diner', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/diner_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Madison Avenue Pub,"14 Madison Ave (at Bloor St. W), Toronto ON M5R 2S1",Toronto,CA,0.979382143540788,7.8
"43.674446,-79.398331",5dcda90cdac7db000833c20d,13029,Brewery,"[{'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}]",Birroteca,"55 Bloor St W, Toronto ON M4W 1A6",Toronto,CA,0.9743805072029739,
"43.674446,-79.398331",4adf33cff964a520487821e3,13003,Bar,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13031, 'name': 'Burger Joint', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/burger_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Pilot Tavern,"22 Cumberland St (btwn Bay & Yonge), Toronto ON M4W 1J5",Toronto,CA,0.9667669052220789,6.9
"43.674446,-79.398331",59e6cdb1cf72a013dca8a7c8,13383,Steakhouse,"[{'id': 13383, 'name': 'Steakhouse', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/steakhouse_', 'suffix': '.png'}}]",BlueBlood Steakhouse,"1 Austin Terr, Toronto ON M5R 1X8",Toronto,CA,0.9645563054579585,7.2
"43.674446,-79.398331",5792a871cd1010a4f248dfcb,13276,Sushi Restaurant,"[{'id': 13276, 'name': 'Sushi Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}]",Kiro Sushi,"4 Collier St, Toronto ON M4W 1L7",Toronto,CA,0.958863084836397,6.7
"43.674446,-79.398331",610ca17b5b72f10d122865ea,13003,Bar,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",David Rocco Bar Aperitivo,"95 Cumberland St, Toronto ON M5R 3N7",Toronto,CA,0.9546888796952089,
"43.674446,-79.398331",4b6b4014f964a52025fc2be3,13025,Wine Bar,"[{'id': 13025, 'name': 'Wine Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/winery_', 'suffix': '.png'}}, {'id': 13236, 'name': 'Italian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}}]",Cibo Wine Bar - Yorkville,"133 Yorkville Ave (btwn Bay St and Avenue Rd), Toronto ON M5R 1C4",Toronto,CA,0.9545777322210353,7.5
"43.674446,-79.398331",4ad90125f964a520071721e3,13018,Pub,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13049, 'name': 'Diner', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/diner_', 'suffix': '.png'}}]",Duke of York,"39 Prince Arthur Ave (at Bedford Rd.), Toronto ON M5R 1B2",Toronto,CA,0.9489709596349423,7.2
"43.674446,-79.398331",614fdae055353c4ea449541a,13009,Cocktail Bar,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}]",Writers Room Bar,"4 Rd Ave, Toronto ON M5R 2E8",Toronto,CA,0.9488721618801212,
